answer_id,document_id,question_id,text,answer_start,answer_end,answer_category,question,file_name,context
902727,1519749,1018524,INTERCHANGE RECEIVED 1 FOR THE MONTH OF DEC-22 997158 FUND TRANSFER TRANSACTIONS 15 55.30 MERCHANT TRANSACTIONS TOTAL 55.30,460,583,,PDF_Interchange Fees,GTI1_DMKB_UPI1_202212_D_DMKBUPI112220045.txt,"TE: 31-12-2022 CUSTOMER:ICICI BANK LTD. ADDRESS :UNIT NO 503 5TH FLOOR HALLMARKBUSINESS PLAZA SANT DNYANESHWAR MARG BANDRA E INVOICE NO: AST MUMBAI MAHARASHTRA 400051 STATE :MAHARASHTRA DMKBUP|112220045 STATE CODE :27 GSTIN :27AAACI1195HSZI SR.NO. DESCRIPTION HSN CODE DETAILS COUNT UNIT AMOUNT(RS.) INTERCHANGE RECEIVED 1 FOR THE MONTH OF DEC-22 997158 FUND TRANSFER TRANSACTIONS 15 55.30 MERCHANT TRANSACTIONS TOTAL 55.30 CGST @ 9% 4.98 SGST/UGST @9%% 4.98 IGST @ 18% 0,00 GRAND TOTAL 65.26 TOTAL (AMOUNT IN WORDS) RUPEES SIXTY FIVE AND TWENTY SIX PAISE ONLY FOR DATTATRAYA MAHARAJ KALAMBE JALOLI SAHAKARI BANK LTD. GSTIN: 27AAAAD4765G1ZR PAN: AAAAD4765G STATE: MAHARASHTRA APPROVAL SIGNATURE SIGNOR: ARVIND SURVE DATA: 2"
902729,1519749,1018520,DMKBUP|112220045,346,362,,PDF_Invoice Number,GTI1_DMKB_UPI1_202212_D_DMKBUPI112220045.txt,"K LTD. SECOND FLOOR, DMK JAOLI BANK BUILDING, HO, 418/20, MAULANA AZAD ROAD, NEAR ROUND TEMPLE, MU MBAI INVOICE DATE: 31-12-2022 CUSTOMER:ICICI BANK LTD. ADDRESS :UNIT NO 503 5TH FLOOR HALLMARKBUSINESS PLAZA SANT DNYANESHWAR MARG BANDRA E INVOICE NO: AST MUMBAI MAHARASHTRA 400051 STATE :MAHARASHTRA DMKBUP|112220045 STATE CODE :27 GSTIN :27AAACI1195HSZI SR.NO. DESCRIPTION HSN CODE DETAILS COUNT UNIT AMOUNT(RS.) INTERCHANGE RECEIVED 1 FOR THE MONTH OF DEC-22 997158 FUND TRANSFER TRANSACTIONS 15 55.30 MERCHANT TRANSACTIONS TOTAL 55.30 CGST @ 9% 4.98 SGST/UGST @9%% 4.98 IGST @ 18% 0,00 GRAND TOTAL 65.26 TOTAL (AM"
902731,1519749,1018522,"SECOND FLOOR, DMK JAOLI BANK BUILDING, HO, 418/20, MAULANA AZAD ROAD, NEAR ROUND TEMPLE, MU MBAI",53,149,,PDF_Address,GTI1_DMKB_UPI1_202212_D_DMKBUPI112220045.txt,"DATTATRAYA MAHARAJ KALAMBE JALOLI SAHAKARI BANK LTD. SECOND FLOOR, DMK JAOLI BANK BUILDING, HO, 418/20, MAULANA AZAD ROAD, NEAR ROUND TEMPLE, MU MBAI INVOICE DATE: 31-12-2022 CUSTOMER:ICICI BANK LTD. ADDRESS :UNIT NO 503 5TH FLOOR HALLMARKBUSINESS PLAZA SANT DNYANESHWAR MARG BANDRA E INVOICE NO: AST MUMBAI MAHARASHTRA 400051 STATE :MAHARASHTRA DMKBUP|112220045 STATE CODE :27 GSTIN :27AAACI1195HSZI SR.NO. DESCRIPTION HSN CODE DETAILS COUNT UNIT A"
902732,1519749,1018521,DATTATRAYA MAHARAJ KALAMBE JALOLI SAHAKARI BANK LTD,0,51,,PDF_Bank Name,GTI1_DMKB_UPI1_202212_D_DMKBUPI112220045.txt,"DATTATRAYA MAHARAJ KALAMBE JALOLI SAHAKARI BANK LTD. SECOND FLOOR, DMK JAOLI BANK BUILDING, HO, 418/20, MAULANA AZAD ROAD, NEAR ROUND TEMPLE, MU MBAI INVOICE DATE: 31-12-2022 CUSTOMER:ICICI BANK LTD. ADDRESS :UNIT NO 503 5TH FLOOR HALLMARKBUSINESS PLAZA SANT DNYANESHWAR MARG BANDRA E INVOICE NO: AST MUMBAI MAHARASHTRA 400051 STATE :MAHARASHTRA DMKBU"
902733,1519749,1018529,DIGITALLY SIGNED,910,926,,Signature Remarks,GTI1_DMKB_UPI1_202212_D_DMKBUPI112220045.txt,"9%% 4.98 IGST @ 18% 0,00 GRAND TOTAL 65.26 TOTAL (AMOUNT IN WORDS) RUPEES SIXTY FIVE AND TWENTY SIX PAISE ONLY FOR DATTATRAYA MAHARAJ KALAMBE JALOLI SAHAKARI BANK LTD. GSTIN: 27AAAAD4765G1ZR PAN: AAAAD4765G STATE: MAHARASHTRA APPROVAL SIGNATURE SIGNOR: ARVIND SURVE DATA: 28 MARCH 2023 18:34 REASON: DIGITALLY SIGNED"
902787,1519750,1018522,"SARDAR VALLABHBHAI PATEL SAHAKAR BHAVAN, NR. SHASTRINAGAR BRTS BUS STOP, NARANPURA, AHMEDABAD - 380013, GUJARAT",62,173,,PDF_Address,GTI1_GSCB_UPI1_202212_D_GUPI122231200054.txt,"GSC BANK TAX INVOICE THE GUJARAT STATE CO-OPERATIVE BANK LTD. SARDAR VALLABHBHAI PATEL SAHAKAR BHAVAN, NR. SHASTRINAGAR BRTS BUS STOP, NARANPURA, AHMEDABAD - 380013, GUJARAT EMAIL ID: GET@GSCHANK.COOP CONTACT NO: 079-27459000 GSTIN : 24AAAAT9774F128 CHARGEABLE UNDER REVERSE CHARGE : N INVOICE NO : GUPI122231200054 PLACE OF SUPPLY : (24) GUJARAT INVOICE DATE : 31-12-2022 BILLED TO SUPPLIED TO CUSTOMER NAME : ICICI BANK LTD GTI NAME ICICI BANK LTD GTI UNIT NO 503 5TH FLO"
902796,1519750,1018527,IGST 246.80 18.00% ,1003,1022,,PDF_IGST @ 18%,GTI1_GSCB_UPI1_202212_D_GUPI122231200054.txt," STATE : MAHARASHTRA STATE CODE : 27 STATE CODE : 27 GSTIN/UIN : 27AAACI1195H5ZI GSTIN/UIN : 27AAACI1 195H5ZI PERIOD DESCRIPTION OF SERVICES SAC VALUE(F) NOV-2022 INTERCHANGE FEES 997158 246.80 TOTAL(A) 246.80 NATURE OF TAX TAXABLE VALUE IN RATE OF TAX CGST 0.00 9.00% 0.00 SGST/UGST 0.00 9.00% 0.00 IGST 246.80 18.00% 14.42 CESS 0.00 0,00% 0.00 TOTAL(B) 14.42 DISCOUNT(C) 0.00 TOTAL INVOICE VALUE TOTAL(A+B)-C 291.22 FOR THE GUJARAT STATE CO-OPERATIVE BANK LTD AUTHORISED SIGNATORY DIGITALLY SIGNED BY HARISH KUMAR DATE: 2023.01.18 10:09:04 IST"
902788,1519750,1018521,THE GUJARAT STATE CO-OPERATIVE BANK LTD,21,60,,PDF_Bank Name,GTI1_GSCB_UPI1_202212_D_GUPI122231200054.txt,"GSC BANK TAX INVOICE THE GUJARAT STATE CO-OPERATIVE BANK LTD. SARDAR VALLABHBHAI PATEL SAHAKAR BHAVAN, NR. SHASTRINAGAR BRTS BUS STOP, NARANPURA, AHMEDABAD - 380013, GUJARAT EMAIL ID: GET@GSCHANK.COOP CONTACT NO: 079-27459000 GSTIN : 24AAAAT9774F128 CHARGEABLE UNDER REVERSE CHARGE : N INVOICE NO : GUPI122231200054 PLACE OF SUPPLY : (24) GUJARAT INVOICE DATE "
902803,1519750,1018524,INTERCHANGE FEES 997158 246.80 TOTAL(A) 246.80 ,866,913,,PDF_Interchange Fees,GTI1_GSCB_UPI1_202212_D_GUPI122231200054.txt,"YANESHWAR MARG BANDRA ADDRESS : DNYANESHWAR MARG BANDRA EAST MUMBAI MAHARASHTRA EAST MUMBAI MAHARASHTRA 400051 400051 STATE : MAHARASHTRA STATE : MAHARASHTRA STATE CODE : 27 STATE CODE : 27 GSTIN/UIN : 27AAACI1195H5ZI GSTIN/UIN : 27AAACI1 195H5ZI PERIOD DESCRIPTION OF SERVICES SAC VALUE(F) NOV-2022 INTERCHANGE FEES 997158 246.80 TOTAL(A) 246.80 NATURE OF TAX TAXABLE VALUE IN RATE OF TAX CGST 0.00 9.00% 0.00 SGST/UGST 0.00 9.00% 0.00 IGST 246.80 18.00% 14.42 CESS 0.00 0,00% 0.00 TOTAL(B) 14.42 DISCOUNT(C) 0.00 TOTAL INVOICE VALUE TOTAL(A+B)-C 291.22 FOR THE GUJARAT STATE CO-OPERATIVE BANK LTD AUTHORISED SIGNATORY DIGITALLY SIGNED BY HARISH "
902813,1519750,1018529,DIGITALLY SIGNED,1186,1202,,Signature Remarks,GTI1_GSCB_UPI1_202212_D_GUPI122231200054.txt,"158 246.80 TOTAL(A) 246.80 NATURE OF TAX TAXABLE VALUE IN RATE OF TAX CGST 0.00 9.00% 0.00 SGST/UGST 0.00 9.00% 0.00 IGST 246.80 18.00% 14.42 CESS 0.00 0,00% 0.00 TOTAL(B) 14.42 DISCOUNT(C) 0.00 TOTAL INVOICE VALUE TOTAL(A+B)-C 291.22 FOR THE GUJARAT STATE CO-OPERATIVE BANK LTD AUTHORISED SIGNATORY DIGITALLY SIGNED BY HARISH KUMAR DATE: 2023.01.18 10:09:04 IST"
902838,1519752,1018524, INTERCHANGE RECEIVED 1 FOR THE MONTH OF DEC-22 997158 FUND TRANSFER TRANSACTIONS 1064 365.00,391,484,,PDF_Interchange Fees,GTI1_JANA_UPI1_202212_D_JANAUPI112220063.txt,ATE: 31-12-2022 CUSTOMER:ICICI BANK LTD. ADDRESS :UNIT NO 503 5TH FLOOR HALLMARKBUSINESS PLAZA SANT DNYANESHWAR MARG BANDRA E INVOICE NO: AST MUMBAI MAHARASHTRA 400051 STATE :MAHARASHTRA JANAUP|112220063 STATE CODE :27 GSTIN :27AAACI1195HSZI SR.NO. DESCRIPTION HSN CODE DETAILS COUNT UNIT AMOUNT(RS.) INTERCHANGE RECEIVED 1 FOR THE MONTH OF DEC-22 997158 FUND TRANSFER TRANSACTIONS 1064 365.00 MERCHANT TRANSACTIONS TOTAL 365.00 CGST 32.85 SGST/UGST @9%% 32.85 IGST @ 18% 0.00 GRAND TOTAL 430.70 TOTAL (AMOUNT IN WORDS) RUPEES FOUR HUNDRED THIRTY AND SEVENTY PAISE ONLY FOR JANASEVA SAHAKARI BANK LTD PUNE GSTIN: 27AAAAJ0620Q1ZM PAN: AAAAJO620Q STATE: MAHARASHTRA DIGITALLY SIGNED BY BHARAT AN
902823,1519751,1018521,", IDFC FIRST BLACK LIMITED",1001,1027,,PDF_Bank Name,GTI1_IDFB_UPI1_202212_M_271222790001396J.txt,"H 9040. . BANKING COMPANY IS EXEMPT FROM ISWING E- TOTAL IMVOICE VALUE 1546114 AMAINE. ACCORDINGLY, DECLARATION PRESCRIBED UNDE EN PRESCRIBED UNDER RULE ON [) OF THE CXIST RULES, ABIT AN AMENDED SIDE TOTAL TAXABLE VALUE 31026 6 ASTIFICATION NE.SA/SCORE DATED OATH JULY WASS IS GIVEN BELEM LOM COST WE, IDFC FIRST BLACK LIMITED, HEREBY DECLARE THAT THOUGH OUR AGGREGATE TURNOVER IN ANY PRECEDING FINANCIAL AUTHORIZED SIGNATORY TOTAL SGST 11792 4 YEAR FROM 201 7-IS ONWARDS IS MORE THAN THE AGGREGATE TURNOVER NOTIFIED UNDER AN OR SUBCAULE (+) OF RULE TO, WE ARE AST REQUIRED TO PREPARE AN INVOICE IS SEVEN OF THE PROVIDER OF TH"
902842,1519752,1018520, JANAUP|112220063,277,294,,PDF_Invoice Number,GTI1_JANA_UPI1_202212_D_JANAUPI112220063.txt,"JANASEVA SAHAKARI BANK LTD PUNE PLOT NO. 14, HADAPSAR INDUSTRIAL ESTATE, HADAPSAR INVOICE DATE: 31-12-2022 CUSTOMER:ICICI BANK LTD. ADDRESS :UNIT NO 503 5TH FLOOR HALLMARKBUSINESS PLAZA SANT DNYANESHWAR MARG BANDRA E INVOICE NO: AST MUMBAI MAHARASHTRA 400051 STATE :MAHARASHTRA JANAUP|112220063 STATE CODE :27 GSTIN :27AAACI1195HSZI SR.NO. DESCRIPTION HSN CODE DETAILS COUNT UNIT AMOUNT(RS.) INTERCHANGE RECEIVED 1 FOR THE MONTH OF DEC-22 997158 FUND TRANSFER TRANSACTIONS 1064 365.00 MERCHANT TRANSACTIONS TOTAL 365.00 CGST 32.85 SGST/UGST @9%% 32.85 IGST @ 18% 0.00 GRAND TOTAL 430.70 TOTAL ("
902844,1519752,1018529,DIGITALLY SIGNED,755,771,,Signature Remarks,GTI1_JANA_UPI1_202212_D_JANAUPI112220063.txt,SFER TRANSACTIONS 1064 365.00 MERCHANT TRANSACTIONS TOTAL 365.00 CGST 32.85 SGST/UGST @9%% 32.85 IGST @ 18% 0.00 GRAND TOTAL 430.70 TOTAL (AMOUNT IN WORDS) RUPEES FOUR HUNDRED THIRTY AND SEVENTY PAISE ONLY FOR JANASEVA SAHAKARI BANK LTD PUNE GSTIN: 27AAAAJ0620Q1ZM PAN: AAAAJO620Q STATE: MAHARASHTRA DIGITALLY SIGNED BY BHARAT ANNA TILEKAR DATE: 2023.01.19 12:07:26 +05:30
902852,1519753,1018522," NO.1, UTHUNGA, PAMPAMAHAKAVI ROAD CHAMARAJPET, BANGALORE, BENGALURU URBAN, KARNATAKA, 56001",47,139,,PDF_Address,GTI1_KSCB_UPI1_202303_D_KSCBUPI103230040.txt,"THE KARNATAKA STATE CO-OPERATIVE APEX BANK LTD. NO.1, UTHUNGA, PAMPAMAHAKAVI ROAD CHAMARAJPET, BANGALORE, BENGALURU URBAN, KARNATAKA, 56001 8 INVOICE DATE: 31-03-2023 CUSTOMER:ICICI BANK LTD. ADDRESS :UNIT NO 503 5TH FLOOR HALLMARKBUSINESS PLAZA SANT DNYANESHWAR MARG BANDRA E INVOICE NO: AST MUMBAI MAHARASHTRA 400051 STATE :MAHARASHTRA KSCBUP|103230040 STATE CODE :27 GSTIN :27AAACI1195HSZI SR.NO. DESCRIPTION HSN CODE DETAILS COUNT UNIT"
902853,1519753,1018521,THE KARNATAKA STATE CO-OPERATIVE APEX BANK LTD,0,46,,PDF_Bank Name,GTI1_KSCB_UPI1_202303_D_KSCBUPI103230040.txt,"THE KARNATAKA STATE CO-OPERATIVE APEX BANK LTD. NO.1, UTHUNGA, PAMPAMAHAKAVI ROAD CHAMARAJPET, BANGALORE, BENGALURU URBAN, KARNATAKA, 56001 8 INVOICE DATE: 31-03-2023 CUSTOMER:ICICI BANK LTD. ADDRESS :UNIT NO 503 5TH FLOOR HALLMARKBUSINESS PLAZA SANT DNYANESHWAR MARG BANDRA E INVOICE NO: AST MUMBAI MAHARASHTRA 400051 STATE :MAHARASHTRA KSCBUP|1"
